512K, nccl, cuda:0, 6, 0.026469
1M, nccl, cuda:0, 6, 0.025075
10M, nccl, cuda:0, 6, 0.020642
50M, nccl, cuda:0, 6, 0.025328
100M, nccl, cuda:0, 6, 0.046117
500M, nccl, cuda:0, 6, 0.042393
1G, nccl, cuda:0, 6, 0.050467
512K, gloo, cpu, 6, 0.043070
1M, gloo, cpu, 6, 0.016500
10M, gloo, cpu, 6, 0.110487
50M, gloo, cpu, 6, 0.421946
100M, gloo, cpu, 6, 0.703184
500M, gloo, cpu, 6, 3.890236
1G, gloo, cpu, 6, 8.436698
512K, gloo, cuda:0, 6, 0.022036
1M, gloo, cuda:0, 6, 0.019527
10M, gloo, cuda:0, 6, 0.144831
50M, gloo, cuda:0, 6, 0.470461
100M, gloo, cuda:0, 6, 0.778964
