512K, nccl, cuda:0, 2, 0.000161
1M, nccl, cuda:0, 2, 0.000118
10M, nccl, cuda:0, 2, 0.000172
50M, nccl, cuda:0, 2, 0.000460
100M, nccl, cuda:0, 2, 0.000783
500M, nccl, cuda:0, 2, 0.003548
1G, nccl, cuda:0, 2, 0.006870
512K, gloo, cpu, 2, 0.001055
1M, gloo, cpu, 2, 0.006414
10M, gloo, cpu, 2, 0.036385
50M, gloo, cpu, 2, 0.079401
100M, gloo, cpu, 2, 0.167256
500M, gloo, cpu, 2, 0.775469
1G, gloo, cpu, 2, 1.221974
512K, gloo, cuda:0, 2, 0.000961
1M, gloo, cuda:0, 2, 0.001388
10M, gloo, cuda:0, 2, 0.029062
50M, gloo, cuda:0, 2, 0.062765
100M, gloo, cuda:0, 2, 0.139206
500M, gloo, cuda:0, 2, 0.655546
1G, gloo, cuda:0, 2, 1.321069
